Date,January,February,March,April,May,June,July,August,September,October,November,December
01,343,209,283,277,294,126,93,,,122,,389
02,344,167,347,250,197,187,52,,,105,,409
03,370,,,284,,241,339,,,114,,447
04,364,293,321,245,266,312,,,,98,,439
05,372,,274,210,354,226,,,,,,441
06,398,349,169,194,342,156,,,,,,438
07,,287,192,,284,97,181,,,,,435
08,367,,239,,199,114,500,,,,,388
09,384,295,,378,287,97,500,,,,,357
10,380,,325,289,164,130,,,,,,381
11,244,265,129,,161,132,500,,,,,356
12,293,265,156,267,165,124,38,,,,,442
13,321,330,234,333,177,212,65,,,,,400
14,380,355,214,318,,162,81,,,,,318
15,,333,175,,,181,65,,,,,311
16,424,309,217,193,,123,85,,,,197,333
17,442,345,263,200,148,117,60,,,,218,315
18,423,376,248,242,132,167,54,,,,269,345
19,411,372,,289,205,159,36,,,,311,410
20,330,295,189,294,236,166,30,,,,351,467
21,291,,,181,,111,46,,,,311,477
22,330,258,,180,,139,64,,,,355,468
23,408,207,313,156,,135,95,,,,377,411
24,255,175,,,,142,56,,,,351,368
25,408,,429,,280,117,50,,,,372,416
26,,198,286,,230,103,42,,104,,384,451
27,233,245,278,,248,482,28,,155,,381,448
28,,236,319,271,,94,54,,174,,360,455
29,156,,,328,107,97,112,,132,,420,457
30,,,336,252,206,110,66,,173,,362,394
31,283,,263,,113,,95,,,,,371
