Day,January,February,March,April,May,June,July,August,September,October,November,December
1,169,141,84,128,95,92,51,56,74,104,102,128
2,167,94,92,111,136,125,45,74,64,68,102,102
3,238,138,100,113,120,136,49,64,55,128,103,94
4,250,83,112,112,75,142,45,69,48,51,142,95
5,179,78,94,131,77,109,104,64,49,38,153,89
6,148,74,98,124,78,96,77,80,66,40,137,114
7,146,89,108,127,93,95,50,62,68,48,150,104
8,102,188,109,111,86,100,62,49,83,49,104,87
9,70,136,91,130,76,116,63,44,63,114,90,117
10,39,164,93,107,62,86,52,43,58,60,98,146
11,112,67,94,109,77,104,50,43,53,44,170,111
12,92,70,93,100,80,102,52,32,33,53,125,92
13,89,86,92,108,104,103,,55,26,80,72,65
14,128,126,105,146,140,81,56,44,36,80,92,60
15,131,127,132,118,167,100,57,33,46,91,118,66
16,125,105,117,119,88,57,52,35,41,112,94,66
17,176,105,118,131,98,62,46,41,54,131,93,82
18,218,86,159,115,102,57,45,50,38,126,85,119
19,180,100,119,115,112,57,64,55,66,132,110,111
20,192,84,128,146,132,60,48,43,44,174,133,126
21,151,82,106,129,84,65,42,42,33,158,134,120
22,176,118,107,103,122,69,53,49,48,168,97,97
23,94,110,101,104,78,73,48,57,60,172,102,83
24,45,100,101,111,88,69,54,42,58,106,103,85
25,108,117,112,94,75,61,43,45,62,159,118,90
26,78,153,103,110,90,65,43,36,71,125,115,99
27,91,104,101,129,99,66,56,56,63,176,134,77
28,93,89,102,126,80,68,51,61,76,144,162,63
29,91,,128,157,82,49,40,55,88,133,216,76
30,74,,126,146,100,50,40,58,90,146,149,118
31,189,,136,,97,,48,76,,129,,189
 ,,,,,,,,,,,,
Good,2,,,,,2,15,16,11,5,,
Satisfactory,9,14,10,2,22,20,14,15,19,7,8,18
Moderate,17,14,21,28,9,8,1,,,19,21,13
Poor,3,,,,,,,,,,1,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,1,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,96,100,100,100,100,100
